id,"nick,comment",refer_nick,refer,time,star
29122800,俄雷付沙,这次凉山火灾，这首歌太贴切了,,,14:35,0
29122800,红月亮733,太喜欢莫西子诗的声音了,,,01:40,0
29122800,灵魂星球B612號,我所认为的纯粹，是毫无保留,CeonHoi,请问：什么是纯粹？,昨天08:34,0
29122800,CeonHoi,请问：什么是纯粹？,灵魂星球B612號,或许是纯粹以外,昨天08:26,0
29122800,FOR_BAILEY,得不到的，就永远得不到。,,,4月2日 01:21,0
29122800,LonelySeaMonster__,大火快点熄灭吧，让森林回到原来的样子。,,,3月31日 21:18,1
29122800,GreyHorseman,温暖,,,3月27日 00:54,0
29122800,陸游原,专辑里另外一首月亮与海是窦唯弹的吉他 不知道这首是不是,阿诺170906,别逗了，光听吉他你能听得出来是窦唯弹的？？,3月26日 15:02,0
29122800,恩台,好好听啊，知己内心深处最寂静的地方,,,3月21日 13:28,0
29122800,Weekend-lover,ι,,,2月26日 21:13,0
29122800,083434,好听,,,2月6日 23:01,0
29122800,听歌我发自内心,听哭了,,,1月10日 07:37,1
29122800,lecochondanseur,想听更多,,,2019年12月19日,0
29122800,頤和園泛舟,唉,,,2019年12月2日,0
29122800,查尔瓦先生,好听,,,2019年11月7日,0
29122800,续随子-,说的真好,itsanulluna,男女情感虽是私自微小的事情，如果根不正、根不深，长出来的枝桠叶片必定是畸形、衰败的。这个根系，其实是彼此的心性、品格。人若能遇见明月般的爱人，心要先成为一面澄湖。这才是两相映照。 ,2019年11月4日,0
29122800,扎心老铁1810,性子急的人听不了莫西子诗老师的歌，太不紧不慢了。,,,2019年10月21日,1
29122800,黑工程计科小贤,听哭了。。。真的不错 单曲循环了,,,2019年10月13日,1
29122800,后海捡垃圾,火不了您放心,最爱理想三旬但唱歌不好听,这个曲子千万千万不要火起来了,2019年9月29日,0
29122800,最爱理想三旬但唱歌不好听,这个曲子千万千万不要火起来了,,,2019年9月11日,2
