id,"nick,comment",refer_nick,refer,time,star
299714,JohnsonJc,但愿人长久,,,10:34,2
299714,嗨一呀,但愿人长久,,,10:10,0
299714,-Bereal,但愿人长久,,,09:47,1
299714,王二政,无知得人，这特么是苏轼啊！千古一人,被子背在后背上,不是有个人评论 说这词写的还不错 媲美林夕 文山啊……,09:44,0
299714,loverbox,向抗疫英雄致敬，向逝者哀悼！,,,07:56,1
299714,向可爱的人致敬向逝者哀悼,孩子长大了，还是一如既往的爱您，但是不会让您淘神烦恼了,,,07:26,0
299714,科大阴阳师,愿逝者安息，生者进发,,,07:21,1
299714,XXXXX-109,但愿人长久,,,02:33,0
299714,大师ovo,不应该是，又恐琼楼玉宇吗？,,,01:58,0
299714,用户427424334,真好！！！,,,00:06,0
299714,湖北抖腿王,哥们你晚上十点半还在上课嘛...,D1072,什么时候吧诸葛亮的出师表也唱了吧，我在线等挺急的要抽查了,昨天14:15,0
299714,那我努力追逐你的脚步嚜,太好听了,,,4月2日 22:16,0
299714,功名半纸_风雪千山,哦，我一直背的也是又,大猪蹄子弟弟,中考🉐️要按语文书上的答,4月2日 19:47,0
299714,一条研狗子,毕业的时候一定要唱这首歌！希望是笑着唱完的。,,,4月2日 17:25,0
299714,哇哈哈哈哈121,真把你自己当个人了还,帽子反戴谁也不爱b,你查现代汉语词典能查到古语通假字读音算你牛逼 给我整笑了 文盲真多,4月2日 15:34,0
299714,哇哈哈哈哈121,我还寻思您是多有文化呢,帽子反戴谁也不爱b,你查现代汉语词典能查到古语通假字读音算你牛逼 给我整笑了 文盲真多,4月2日 15:33,0
299714,帽子反戴谁也不爱b,听了很多版本 听到yi就把所有qi取消了红心♥️,司马青衫旧,正好听到这句，看到这个评论，强迫症受不了，把❤取消了,4月2日 14:48,0
299714,帽子反戴谁也不爱b,你查现代汉语词典能查到古语通假字读音算你牛逼 给我整笑了 文盲真多,哇哈哈哈哈121,你自己查查之前的字典有没有yi,4月2日 14:46,0
299714,帽子反戴谁也不爱b,铁子我刚想回喷 看到你这个反手就点个赞 溜了溜了,Asmodeusl,喷之前你最好先百度一下这是不是通假字。绮通倚,4月2日 14:44,0
299714,凭窗无风1953,无所谓吧，考试的时候注意就行了。,上官顏陸,搞不懂非得把“低绮（qǐ）户”唱成“低yǐ户”，因邓丽君开始，王菲、张学友等一众歌手翻唱也都跟着唱错，上次听龚琳娜、朱强的版本好像唱对了。,4月2日 12:41,0
